article No. , Words , sentences , Luhn Rouge1 , Luhn Rouge2 , TextRank-Word_count Rouge1 , TextRank-Word_count Rouge2 , TextRank-word2vec Rouge1 , TextRank-word2vec Rouge2
0,289,17,0.543478261,0.220338983,0.5,0.169491525,0.826086957,0.474576271
1,324,18,0.392857143,0.133333333,0.267857143,0.033333333,0.267857143,0.066666667
2,196,14,0.384615385,0.216666667,0.326923077,0.1,0.403846154,0.266666667
3,1296,36,0.305084746,0.1,0.288135593,0.083333333,0.305084746,0.083333333
4,361,19,0.653846154,0.372881356,0.346153846,0,0.653846154,0.355932203
5,529,23,0.586956522,0.237288136,0.304347826,0.050847458,0.586956522,0.254237288
6,324,18,0.404255319,0.118644068,0.70212766,0.457627119,0.595744681,0.372881356
7,625,25,0.666666667,0.338983051,0.431372549,0.118644068,0.823529412,0.559322034
8,121,11,0.5,0.263157895,0.5,0.263157895,0.583333333,0.333333333
9,121,11,0.340909091,0.192982456,0.363636364,0.192982456,0.409090909,0.192982456
10,196,14,0.651162791,0.310344828,0.372093023,0.034482759,0.511627907,0.293103448
11,841,29,0.510638298,0.137931034,0.489361702,0.155172414,0.468085106,0.103448276
12,196,14,0.425531915,0.122807018,0.425531915,0.122807018,0.489361702,0.192982456
13,1089,33,0.434782609,0.066666667,0.304347826,0.033333333,0.52173913,0.133333333
14,36,6,0.32,0.228070175,0.04,0,0.04,0
15,361,19,0.30952381,0.074074074,0.428571429,0.148148148,0.428571429,0.148148148
16,144,12,0.571428571,0.301886792,0.595238095,0.358490566,0.69047619,0.396226415
17,81,9,0.553191489,0.24,0.042553191,0,0.042553191,0
18,225,15,0.346938776,0.066666667,0.265306122,0.05,0.285714286,0.1
19,625,25,0.630434783,0.327586207,0.47826087,0.120689655,0.586956522,0.310344828
20,169,13,0.47826087,0.172413793,0.391304348,0.086206897,0.565217391,0.25862069
21,625,25,0.58,0.25862069,0.58,0.275862069,0.5,0.224137931
22,144,12,0.5,0.13559322,0.604166667,0.423728814,0.8125,0.627118644
23,225,15,0.28,0.051724138,0.34,0.034482759,0.46,0.120689655
24,361,19,0.291666667,0.033333333,0.3125,0.083333333,0.5625,0.3
25,144,12,0.533333333,0.321428571,0.311111111,0.053571429,0.511111111,0.321428571
26,121,11,0.191489362,0.017241379,0.276595745,0.017241379,0.446808511,0.310344828
27,36,6,0.488372093,0.363636364,0.046511628,0,0.046511628,0
28,100,10,0.208333333,0.105263158,0.25,0.01754386,0.416666667,0.245614035
29,1936,44,0.5,0.203703704,0.4375,0.074074074,0.395833333,0.166666667
30,64,8,0.627906977,0.4,0.023255814,0,0.023255814,0
31,49,7,0.295454545,0.037735849,0.045454545,0,0.045454545,0
32,81,9,0.304347826,0.12962963,0.043478261,0,0.043478261,0
33,784,28,0.510638298,0.137931034,0.468085106,0.120689655,0.489361702,0.137931034
34,144,12,0.487179487,0.346938776,0.307692308,0.102040816,0.615384615,0.428571429
35,49,7,0.212765957,0.035087719,0.042553191,0,0.042553191,0
36,256,16,0.346938776,0.071428571,0.387755102,0.089285714,0.632653061,0.232142857
37,256,16,0.632653061,0.305084746,0.448979592,0.050847458,0.714285714,0.406779661
38,256,16,0.5,0.2,0.347826087,0.133333333,0.413043478,0.066666667
39,484,22,0.319148936,0.052631579,0.404255319,0.105263158,0.382978723,0.140350877
40,169,13,0.680851064,0.410714286,0.680851064,0.339285714,0.680851064,0.410714286
41,900,30,0.714285714,0.339285714,0.448979592,0.053571429,0.612244898,0.321428571
42,289,17,0.6,0.25,0.466666667,0.142857143,0.688888889,0.410714286
43,81,9,0.295454545,0.092592593,0.022727273,0,0.022727273,0
44,144,12,0.645833333,0.372881356,0.541666667,0.203389831,0.625,0.355932203
46,225,15,0.418604651,0.16,0.255813953,0.04,0.604651163,0.32
47,400,20,0.509803922,0.396551724,0.607843137,0.465517241,0.37254902,0.086206897
48,196,14,0.522727273,0.203389831,0.545454545,0.152542373,0.522727273,0.203389831
49,36,6,0.395833333,0.120689655,0.041666667,0,0.041666667,0
50,100,10,0.18,0.066666667,0.26,0.1,0.46,0.283333333
51,225,15,0.837837838,0.636363636,0.459459459,0.181818182,0.72972973,0.581818182
52,100,10,0.291666667,0.120689655,0.4375,0.120689655,0.583333333,0.293103448
53,1225,35,0.62745098,0.327586207,0.647058824,0.327586207,0.666666667,0.362068966
54,729,27,0.395833333,0.13559322,0.270833333,0.050847458,0.583333333,0.288135593
55,196,14,0.54,0.372881356,0.54,0.355932203,0.28,0.033898305
56,1296,36,0.306122449,0.033898305,0.591836735,0.355932203,0.367346939,0.050847458
57,2401,49,0.543478261,0.122807018,0.47826087,0.070175439,0.586956522,0.192982456
58,1156,34,0.5,0.086206897,0.407407407,0.103448276,0.685185185,0.465517241
59,729,27,0.24,0,0.28,0.035087719,0.3,0.052631579
60,625,25,0.274509804,0.050847458,0.31372549,0,0.31372549,0.033898305
61,225,15,0.489361702,0.25,0.446808511,0.178571429,0.489361702,0.25
62,256,16,0.5625,0.423728814,0.520833333,0.305084746,0.833333333,0.677966102
63,256,16,0.42,0.084745763,0.52,0.271186441,0.42,0.271186441
64,256,16,0.436363636,0.152542373,0.309090909,0.13559322,0.345454545,0.118644068
65,289,17,0.178571429,0.05,0.196428571,0.033333333,0.232142857,0.016666667
66,441,21,0.361702128,0.086206897,0.446808511,0.137931034,0.489361702,0.24137931
67,484,22,0.52,0.259259259,0.34,0.148148148,0.86,0.685185185
68,361,19,0.348837209,0.145833333,0.325581395,0.125,0.604651163,0.229166667
69,100,10,0.14893617,0,0.191489362,0,0.489361702,0.275862069
